	tetragrama	Palabra	Aparece en:	OTS	INALI	OTQ	RFE	fon
60	uitl	Cuitlachíhuitl,	nuua Cuitlachíhuitl, ra pinhyo	nuua tsuitlachíjuitl, ra pinjyo	nuua tsuitlachíhuitl, ra pinhyo	nuua tsuitlatxíhuitl, ra pinhyo	nuua cuitlačíhuitl, ra pinhyo	nuua t͡suitlat͡ʃíhuitl, ra pinhjo
61	uitl	Cuitláhuac	Ra Cuitláhuac bi thahni pa ge'a dra dänga ndä o Ra Täayä, pa da po̱te nu'a bi du ra Ts'e̱y'e̱hmu.	ra tsuitlájuats bi tjajni pa ge'a dra dänga ndä o ra täayä, pa da po̱te nu'a bi du ra ts'e̱y'e̱jmu.	ra tsuitláhuats bi thahni pa ge'a dra dänga ndä o ra täayä, pa da po̱te nu'a bi du ra ts'e̱y'e̱hmu.	ra tsuitláhuats bi thahni pa ge'a dra dänga ndä o ra täayä, pa da po̱te nu'a bi du ra ts'e̱y'e̱hmu.	ra cuitláhuac bi thahni pa geʔa dra dᶏnga ndᶏ o ra tᶏayᶏ, pa da pɔte nuʔa bi du ra cʔɛyʔɛhmu.	ra t͡suitláhuat͡s bi thahni pa geʔa dɾa dãnga ndã o ra tãajã, pa da pɔte nuʔa bi du ra t͡sʔɛjʔɛhmu.
62	tzin	Tecocoltzin.	Di geb'u̱, ba ehe̱ n'a ra m'e̱hni ra bo̱nahmu nuni Acolhuacan, mra tuhu ra Tecocoltzin. Nu'u̱ bi ñ'ehe da ñäui ko ya jä'i mi ñ'ehe nuni Tlatelolco ge nuya:	di geb'u̱, ba eje̱ n'a ra m'e̱jni ra bo̱najmu nuni atsoljuatsan, mra tuju ra tetsotsoltzin. nu'u̱ bi ñ'eje da ñäui ko ya jä'i mi ñ'eje nuni tlateloltso ge nuya:	di geb'u̱, ba ehe̱ n'a ra m'e̱hni ra bo̱nahmu nuni atsolhuatsan, mra tuhu ra tetsotsoltzin. nu'u̱ bi ñ'ehe da ñäui ko ya jä'i mi ñ'ehe nuni tlateloltso ge nuya:	di geb'u̱, ba ehe̱ n'a ra m'e̱hni ra bo̱nahmu nuni atsolhuatsan, mra tuhu ra tetsotsoltzin. nu'u̱ bi ñ'ehe da ñäui ko ya jä'i mi ñ'ehe nuni tlateloltso ge nuya:	di gebʔɨ, ba ehɛ nʔa ra mʔɛhni ra bɔnahmu nuni acolhuacan, mra tuhu ra tecocoltzin. nuʔɨ bi ñʔehe da ñᶏui ko ya khᶏʔi mi ñʔehe nuni tlatelolco ge nuya:	di gebʔɨ, ba ehɛ nʔa ra mʔɛhni ra bɔnahmu nuni at͡solhuat͡san, mɾa tuhu ra tet͡sot͡soltzin. nuʔɨ bi ɲʔehe da ɲãui ko ja khãʔi mi ɲʔehe nuni tlatelolt͡so ge nuja:
63	tzin	Tecpantzinco”	a tsa da huahni nda'a nuya ñ'uthe ñ'udi habu̱ mi r'ani: ra Tecpantzinco” mi tso̱nibu̱ ha nubia ja ra nxika ñ'u ra thuhu ra Tacuba...”,	"a tsa da juajni nda'a nuya ñ'utje ñ'udi jabu̱ mi r'ani: ra tetspantzintso"" mi tso̱nibu̱ ja nubia ja ra nxika ñ'u ra tjuju ra tatsuba..."","	"a tsa da huahni nda'a nuya ñ'uthe ñ'udi habu̱ mi r'ani: ra tetspantzintso"" mi tso̱nibu̱ ha nubia ja ra nxika ñ'u ra thuhu ra tatsuba..."","	"a tsa da huahni nda'a nuya ñ'uthe ñ'udi habu̱ mi r'ani: ra tetspantzintso"" mi tso̱nibu̱ ha nubia ja ra nxika ñ'u ra thuhu ra tatsuba..."","	"a ca da huahni ndaʔa nuya ñʔuthe ñʔudi habɨ mi rʔani: ra tecpantzinco"" mi cɔnibɨ ha nubia kha ra nšika ñʔu ra thuhu ra tacuba..."","	"a t͡sa da huahni ndaʔa nuja ɲʔuthe ɲʔudi habɨ mi rʔani: ra tet͡spantzint͡so"" mi t͡sɔnibɨ ha nubia kha ra nʃika ɲʔu ra thuhu ra tat͡suba..."","
64	tzin	Tlacotzin	Bi hump'abi ya mu̱i ra Tlacotzin ne bi xipabi:	bi jump'abi ya mu̱i ra tlatsotzin ne bi xipabi:	bi hump'abi ya mu̱i ra tlatsotzin ne bi xipabi:	bi hump'abi ya mu̱i ra tlatsotzin ne bi xipabi:	bi humpʔabi ya mɨi ra tlacotzin ne bi šipabi:	bi humpʔabi ja mɨi ra tlat͡sotzin ne bi ʃipabi:
65	tzin	Tepeoatzin,	Tepeoatzin, Tlacochcálcatl.	tepeoatzin, tlatsochtsáltsatl.	tepeoatzin, tlatsochtsáltsatl.	tepeoatzin, tlatsotxtsáltsatl.	tepeoatzin, tlacočcálcatl.	tepeoatzin, tlat͡sot͡ʃt͡sált͡satl.
66	tzin	Motelhuihtzin	Inte ma nzu bi tsits'i ra Motelhuihtzin ne Tlacotzin.	inte ma nzu bi tsits'i ra moteljuijtzin ne tlatsotzin.	inte ma nzu bi tsits'i ra motelhuihtzin ne tlatsotzin.	inte ma nzu bi tsits'i ra motelhuihtzin ne tlatsotzin.	inte ma nzu bi cicʔi ra motelhuihtzin ne tlacotzin.	inte ma nzu bi t͡sit͡sʔi ra motelhuihtzin ne tlat͡sotzin.
67	tzin	Nepilotzin.	Tihi dega nxo̱ni, ma ku ya t'uki, nu'i ra Nepilotzin.	tiji dega nxo̱ni, ma ku ya t'uki, nu'i ra nepilotzin.	tihi dega nxo̱ni, ma ku ya t'uki, nu'i ra nepilotzin.	tihi dega nxo̱ni, ma ku ya t'uki, nu'i ra nepilotzin.	tihi dega nšɔni, ma ku ya tʔuki, nuʔi ra nepilotzin.	tihi dega nʃɔni, ma ku ja tʔuki, nuʔi ra nepilotzin.
68	tzin	Hecatzin;	Ebu̱ ba ehe da handa ya thodi te mi ja nu'a ra tlapaneca ñähñu Hecatzin;	ebu̱ ba eje da janda ya tjodi te mi ja nu'a ra tlapanetsa ñäjñu jetsatzin;	ebu̱ ba ehe da handa ya thodi te mi ja nu'a ra tlapanetsa ñähñu hetsatzin;	ebu̱ ba ehe da handa ya thodi te mi ja nu'a ra tlapanetsa ñähñu hetsatzin;	ebɨ ba ehe da handa ya thodi te mi kha nuʔa ra tlapaneca ñᶏhñu hecatzin;	ebɨ ba ehe da handa ja thodi te mi kha nuʔa ra tlapanet͡sa ɲãhɲu het͡satzin;
69	tzin	Topantemoctzin,	Ra ngoho ra Topantemoctzin, ra me̱tsaboja ra Ts'e̱y'e̱hmu nuni Tlatilulco.	ra ngojo ra topantemotstzin, ra me̱tsaboja ra ts'e̱y'e̱jmu nuni tlatilultso.	ra ngoho ra topantemotstzin, ra me̱tsaboja ra ts'e̱y'e̱hmu nuni tlatilultso.	ra ngoho ra topantemotstzin, ra me̱tsaboja ra ts'e̱y'e̱hmu nuni tlatilultso.	ra ngoho ra topantemoctzin, ra mɛcabokha ra cʔɛyʔɛhmu nuni tlatilulco.	ra ngoho ra topantemot͡stzin, ra mɛt͡sabokha ra t͡sʔɛjʔɛhmu nuni tlatilult͡so.
70	tzin	Malintzin	Ha ra dänga tai nu'a ra hnini ri hneki ra Cortés ne ra Ts'e̱y'e̱hmu ri hñandui, mi pe̱tsi ha ra hyo ra Malintzin ra nge'a mi gu̱ ngu ra n'atsa noya.	ja ra dänga tai nu'a ra jnini ri jneki ra tsortés ne ra ts'e̱y'e̱jmu ri jñandui, mi pe̱tsi ja ra jyo ra malintzin ra nge'a mi gu̱ ngu ra n'atsa noya.	ha ra dänga tai nu'a ra hnini ri hneki ra tsortés ne ra ts'e̱y'e̱hmu ri hñandui, mi pe̱tsi ha ra hyo ra malintzin ra nge'a mi gu̱ ngu ra n'atsa noya.	ha ra dänga tai nu'a ra hnini ri hneki ra tsortés ne ra ts'e̱y'e̱hmu ri hñandui, mi pe̱tsi ha ra hyo ra malintzin ra nge'a mi gu̱ ngu ra n'atsa noya.	ha ra dᶏnga tai nuʔa ra hnini ri hneki ra cortés ne ra cʔɛyʔɛhmu ri hñandui, mi pɛci ha ra hyo ra malintzin ra ngeʔa mi gɨ ngu ra nʔaca noya.	ha ra dãnga tai nuʔa ra hnini ri hneki ra t͡soɾtés ne ra t͡sʔɛjʔɛhmu ri hɲandui, mi pɛt͡si ha ra hjo ra malintzin ra ngeʔa mi gɨ ngu ra nʔat͡sa noja.
71	tzin	Cacamatzin,	Ge mä ra bonahmu metetzcoco ge, enfrentar ra Cacamatzin, bi juahni bi fats'i ra Cortés.	ge mä ra bonajmu metetztsotso ge, enfrentar ra tsatsamatzin, bi juajni bi fats'i ra tsortés.	ge mä ra bonahmu metetztsotso ge, enfrentar ra tsatsamatzin, bi juahni bi fats'i ra tsortés.	ge mä ra bonahmu metetztsotso ge, enfrentar ra tsatsamatzin, bi juahni bi fats'i ra tsortés.	ge mᶏ ra bonahmu metetzcoco ge, enphrentar ra cacamatzin, bi khuahni bi phacʔi ra cortés.	ge mã ra bonahmu metetzt͡sot͡so ge, enɸɾentaɾ ra t͡sat͡samatzin, bi khuahni bi ɸat͡sʔi ra t͡soɾtés.
72	tzin	mehuexotzinco	Nehe bri o̱t'a ya ngu ya mehuexotzinco ne metlaxcala ha ra ñäni ra ñ'u.	neje bri o̱t'a ya ngu ya mejuexotzintso ne metlaxtsala ja ra ñäni ra ñ'u.	nehe bri o̱t'a ya ngu ya mehuexotzintso ne metlaxtsala ha ra ñäni ra ñ'u.	nehe bri o̱t'a ya ngu ya mehuexotzintso ne metlaxtsala ha ra ñäni ra ñ'u.	nehe bri ɔtʔa ya ngu ya mehuešotzinco ne metlašcala ha ra ñᶏni ra ñʔu.	nehe bɾi ɔtʔa ja ngu ja mehueʃotzint͡so ne metlaʃt͡sala ha ra ɲãni ra ɲʔu.
73	tzin	huexotzincas.	metlaxcala, huexotzincas.	metlaxtsala, juexotzintsas.	metlaxtsala, huexotzintsas.	metlaxtsala, huexotzintsas.	metlašcala, huešotzincas.	metlaʃt͡sala, hueʃotzint͡sas.
74	tzin	Malintzin.	Ham'u̱ xki tsonfeni nu'a bi mä ra Ts'e̱y'e̱hmu, b'estho bi kotsuabi ya noya ra Malintzin.	jam'u̱ xki tsonfeni nu'a bi mä ra ts'e̱y'e̱jmu, b'estjo bi kotsuabi ya noya ra malintzin.	ham'u̱ xki tsonfeni nu'a bi mä ra ts'e̱y'e̱hmu, b'estho bi kotsuabi ya noya ra malintzin.	ham'u̱ xki tsonfeni nu'a bi mä ra ts'e̱y'e̱hmu, b'estho bi kotsuabi ya noya ra malintzin.	hamʔɨ ški conpheni nuʔa bi mᶏ ra cʔɛyʔɛhmu, bʔestho bi kocuabi ya noya ra malintzin.	hamʔɨ ʃki t͡sonɸeni nuʔa bi mã ra t͡sʔɛjʔɛhmu, bʔestho bi kot͡suabi ja noja ra malintzin.
75	tzin	Ahuizotzin	Mi fudi da t'axka ra xudi ba ts'i, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra Ahuizotzin nuni ra Acatliyacapan.	mi fudi da t'axka ra xudi ba ts'i, bri tját'a ja n'a ra za mi b'ai ja ra ngu ra ajuizotzin nuni ra atsatliyatsapan.	mi fudi da t'axka ra xudi ba ts'i, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra ahuizotzin nuni ra atsatliyatsapan.	mi fudi da t'axka ra xudi ba ts'i, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra ahuizotzin nuni ra atsatliyatsapan.	mi phudi da tʔaška ra šudi ba cʔi, bri thátʔa ha nʔa ra za mi bʔai ha ra ngu ra ahuizotzin nuni ra acatliyacapan.	mi ɸudi da tʔaʃka ra ʃudi ba t͡sʔi, bɾi thátʔa ha nʔa ra za mi bʔai ha ra ngu ra ahuizotzin nuni ra at͡satlijat͡sapan.
76	tzin	Tlacotzin:	Ebu̱ bi ñá ra Tlacotzin:	ebu̱ bi ñá ra tlatsotzin:	ebu̱ bi ñá ra tlatsotzin:	ebu̱ bi ñá ra tlatsotzin:	ebɨ bi ñá ra tlacotzin:	ebɨ bi ɲá ra tlat͡sotzin:
77	tzin	Mazatzintamalco.	Ra n'ate ma pa ba huts'i ya mätsa nuni Nonohualco, habu̱ t'embabi Mazatzintamalco.	ra n'ate ma pa ba juts'i ya mätsa nuni nonojualtso, jabu̱ t'embabi mazatzintamaltso.	ra n'ate ma pa ba huts'i ya mätsa nuni nonohualtso, habu̱ t'embabi mazatzintamaltso.	ra n'ate ma pa ba huts'i ya mätsa nuni nonohualtso, habu̱ t'embabi mazatzintamaltso.	ra nʔate ma pa ba hucʔi ya mᶏca nuni nonohualco, habɨ tʔembabi mazatzintamalco.	ra nʔate ma pa ba hut͡sʔi ja mãt͡sa nuni nonohualt͡so, habɨ tʔembabi mazatzintamalt͡so.
78	tzin	Motelhuitzin,	ra nku̱t'a mra thuhu Motelhuitzin, ge'a m ra däga b'e̱tri ha ra ndo̱m'ihmu, nuna ina mra bo̱nahmu, pe mra dänga gabida ha ra magabi.	ra nku̱t'a mra tjuju moteljuitzin, ge'a m ra däga b'e̱tri ja ra ndo̱m'ijmu, nuna ina mra bo̱najmu, pe mra dänga gabida ja ra magabi.	ra nku̱t'a mra thuhu motelhuitzin, ge'a m ra däga b'e̱tri ha ra ndo̱m'ihmu, nuna ina mra bo̱nahmu, pe mra dänga gabida ha ra magabi.	ra nku̱t'a mra thuhu motelhuitzin, ge'a m ra däga b'e̱tri ha ra ndo̱m'ihmu, nuna ina mra bo̱nahmu, pe mra dänga gabida ha ra magabi.	ra nkɨtʔa mra thuhu motelhuitzin, geʔa m ra dᶏga bʔɛtri ha ra ndɔmʔihmu, nuna ina mra bɔnahmu, pe mra dᶏnga gabida ha ra magabi.	ra nkɨtʔa mɾa thuhu motelhuitzin, geʔa m ra dãga bʔɛtɾi ha ra ndɔmʔihmu, nuna ina mɾa bɔnahmu, pe mɾa dãnga gabida ha ra magabi.
79	tzin	Itzuauhtzin,	Nub'u̱ ra hyadi xki mu̱di da yu̱i, ha bri pundande, mi ja n'a tu̱ki ra hyadi ba ehe da da ra noya ra Itzuauhtzin, mi to̱ge mañä n'a ra ngu bi ñä ts'e̱di, ne bi ena:	nub'u̱ ra jyadi xki mu̱di da yu̱i, ja bri pundande, mi ja n'a tu̱ki ra jyadi ba eje da da ra noya ra itzuaujtzin, mi to̱ge mañä n'a ra ngu bi ñä ts'e̱di, ne bi ena:	nub'u̱ ra hyadi xki mu̱di da yu̱i, ha bri pundande, mi ja n'a tu̱ki ra hyadi ba ehe da da ra noya ra itzuauhtzin, mi to̱ge mañä n'a ra ngu bi ñä ts'e̱di, ne bi ena:	nub'u̱ ra hyadi xki mu̱di da yu̱i, ha bri pundande, mi ja n'a tu̱ki ra hyadi ba ehe da da ra noya ra itzuauhtzin, mi to̱ge mañä n'a ra ngu bi ñä ts'e̱di, ne bi ena:	nubʔɨ ra hyadi ški mɨdi da yɨi, ha bri pundande, mi kha nʔa tɨki ra hyadi ba ehe da da ra noya ra itzuauhtzin, mi tɔge mañᶏ nʔa ra ngu bi ñᶏ cʔɛdi, ne bi ena:	nubʔɨ ra hjadi ʃki mɨdi da jɨi, ha bɾi pundande, mi kha nʔa tɨki ra hjadi ba ehe da da ra noja ra itzuauhtzin, mi tɔge maɲã nʔa ra ngu bi ɲã t͡sʔɛdi, ne bi ena:
80	tzin	Koyohuatzin	Made dige'a man'a nu'u̱ bi hmä dige'a ra Cuauhtémoc ne nuya mfats'i nuya gabida, ya metlatelolco, Koyohuatzin ne ra Ytzpotonqui, njabu̱ ngu nu'a xi mi fädi xahño mra thuhu ra Temilotzin, ra ñ'emabagi ra ndeznä ge bi bi mä ra Cuicapicaqui, ra hoga ts'onahmä ra hyoka thuhu.	made dige'a man'a nu'u̱ bi jmä dige'a ra tsuaujtémots ne nuya mfats'i nuya gabida, ya metlateloltso, koyojuatzin ne ra ytzpotonqui, njabu̱ ngu nu'a xi mi fädi xajño mra tjuju ra temilotzin, ra ñ'emabagi ra ndeznä ge bi bi mä ra tsuitsapitsaqui, ra joga ts'onajmä ra jyoka tjuju.	made dige'a man'a nu'u̱ bi hmä dige'a ra tsuauhtémots ne nuya mfats'i nuya gabida, ya metlateloltso, koyohuatzin ne ra ytzpotonqui, njabu̱ ngu nu'a xi mi fädi xahño mra thuhu ra temilotzin, ra ñ'emabagi ra ndeznä ge bi bi mä ra tsuitsapitsaqui, ra hoga ts'onahmä ra hyoka thuhu.	made dige'a man'a nu'u̱ bi hmä dige'a ra tsuauhtémots ne nuya mfats'i nuya gabida, ya metlateloltso, koyohuatzin ne ra ytzpotonqui, njabu̱ ngu nu'a xi mi fädi xahño mra thuhu ra temilotzin, ra ñ'emabagi ra ndeznä ge bi bi mä ra tsuitsapitsaqui, ra hoga ts'onahmä ra hyoka thuhu.	made digeʔa manʔa nuʔɨ bi hmᶏ digeʔa ra cuauhtémoc ne nuya mphacʔi nuya gabida, ya metlatelolco, koyohuatzin ne ra ytzpotonqui, nkhabɨ ngu nuʔa ši mi phᶏdi šahño mra thuhu ra temilotzin, ra ñʔemabagi ra ndeznᶏ ge bi bi mᶏ ra cuicapicaqui, ra hoga cʔonahmᶏ ra hyoka thuhu.	made digeʔa manʔa nuʔɨ bi hmã digeʔa ra t͡suauhtémot͡s ne nuja mɸat͡sʔi nuja gabida, ja metlatelolt͡so, kojohuatzin ne ra jtzpotonqui, nkhabɨ ngu nuʔa ʃi mi ɸãdi ʃahɲo mɾa thuhu ra temilotzin, ra ɲʔemabagi ra ndeznã ge bi bi mã ra t͡suit͡sapit͡saqui, ra hoga t͡sʔonahmã ra hjoka thuhu.
81	tzin	Motelhuihtzin,	Ko ra tz'oni ri zengua ra Huiznahuácatl Motelhuihtzin,	ko ra tz'oni ri zengua ra juiznajuátsatl moteljuijtzin,	ko ra tz'oni ri zengua ra huiznahuátsatl motelhuihtzin,	ko ra tz'oni ri zengua ra huiznahuátsatl motelhuihtzin,	ko ra tzʔoni ri zengua ra huiznahuácatl motelhuihtzin,	ko ra tzʔoni ri zengua ra huiznahuát͡satl motelhuihtzin,
82	tzin	Malitzin,	bi y'o̱de, m'estho nu'a bi r'atsuabi ya noya ra Malitzin, njabi bi umbabi ngue̱nda te mi zipi.	bi y'o̱de, m'estjo nu'a bi r'atsuabi ya noya ra malitzin, njabi bi umbabi ngue̱nda te mi zipi.	bi y'o̱de, m'estho nu'a bi r'atsuabi ya noya ra malitzin, njabi bi umbabi ngue̱nda te mi zipi.	bi y'o̱de, m'estho nu'a bi r'atsuabi ya noya ra malitzin, njabi bi umbabi ngue̱nda te mi zipi.	bi yʔɔde, mʔestho nuʔa bi rʔacuabi ya noya ra malitzin, nkhabi bi umbabi nguɛnda te mi zipi.	bi jʔɔde, mʔestho nuʔa bi rʔat͡suabi ja noja ra malitzin, nkhabi bi umbabi nguɛnda te mi zipi.
83	tzin	Coyohuehuetzin,	Coyohuehuetzin, n'a ra ñ'emabagi ra metlatelolco ge inga n'akitho bi kui ya ñämfo̱.	tsoyojuejuetzin, n'a ra ñ'emabagi ra metlateloltso ge inga n'akitjo bi kui ya ñämfo̱.	tsoyohuehuetzin, n'a ra ñ'emabagi ra metlateloltso ge inga n'akitho bi kui ya ñämfo̱.	tsoyohuehuetzin, n'a ra ñ'emabagi ra metlateloltso ge inga n'akitho bi kui ya ñämfo̱.	coyohuehuetzin, nʔa ra ñʔemabagi ra metlatelolco ge inga nʔakitho bi kui ya ñᶏmphɔ.	t͡sojohuehuetzin, nʔa ra ɲʔemabagi ra metlatelolt͡so ge inga nʔakitho bi kui ja ɲãmɸɔ.
84	tzin	Ximachoctzin,	dige'a ra Ximachoctzin, ra Chimalpaquinitzin,	dige'a ra ximachotstzin, ra chimalpaquinitzin,	dige'a ra ximachotstzin, ra chimalpaquinitzin,	dige'a ra ximatxotstzin, ra tximalpaquinitzin,	digeʔa ra šimačoctzin, ra čimalpaquinitzin,	digeʔa ra ʃimat͡ʃot͡stzin, ra t͡ʃimalpaquinitzin,
85	tzin	Malitzin	Ham'u̱ xki guadi bri jondi, bi hmata ya gatho ya ndä ya hoga jä'i, ra Malitzin bi bo̱xa mañä ha n'a ra ngu ha n'a ra ñäni ra jädo ra ngu, bi mati gatho ya hoga jä'i pa da juat'i ebu̱ bi mä:	jam'u̱ xki guadi bri jondi, bi jmata ya gatjo ya ndä ya joga jä'i, ra malitzin bi bo̱xa mañä ja n'a ra ngu ja n'a ra ñäni ra jädo ra ngu, bi mati gatjo ya joga jä'i pa da juat'i ebu̱ bi mä:	ham'u̱ xki guadi bri jondi, bi hmata ya gatho ya ndä ya hoga jä'i, ra malitzin bi bo̱xa mañä ha n'a ra ngu ha n'a ra ñäni ra jädo ra ngu, bi mati gatho ya hoga jä'i pa da juat'i ebu̱ bi mä:	ham'u̱ xki guadi bri jondi, bi hmata ya gatho ya ndä ya hoga jä'i, ra malitzin bi bo̱xa mañä ha n'a ra ngu ha n'a ra ñäni ra jädo ra ngu, bi mati gatho ya hoga jä'i pa da juat'i ebu̱ bi mä:	hamʔɨ ški guadi bri khondi, bi hmata ya gatho ya ndᶏ ya hoga khᶏʔi, ra malitzin bi bɔša mañᶏ ha nʔa ra ngu ha nʔa ra ñᶏni ra khᶏdo ra ngu, bi mati gatho ya hoga khᶏʔi pa da khuatʔi ebɨ bi mᶏ:	hamʔɨ ʃki guadi bɾi khondi, bi hmata ja gatho ja ndã ja hoga khãʔi, ra malitzin bi bɔʃa maɲã ha nʔa ra ngu ha nʔa ra ɲãni ra khãdo ra ngu, bi mati gatho ja hoga khãʔi pa da khuatʔi ebɨ bi mã:
86	tzin	Mazatzintamalco.	Ham'u̱ xbi bo̱nga dega xui, ri mu̱di mi munts'i nun Mazatzintamalco.	jam'u̱ xbi bo̱nga dega xui, ri mu̱di mi munts'i nun mazatzintamaltso.	ham'u̱ xbi bo̱nga dega xui, ri mu̱di mi munts'i nun mazatzintamaltso.	ham'u̱ xbi bo̱nga dega xui, ri mu̱di mi munts'i nun mazatzintamaltso.	hamʔɨ šbi bɔnga dega šui, ri mɨdi mi muncʔi nun mazatzintamalco.	hamʔɨ ʃbi bɔnga dega ʃui, ri mɨdi mi munt͡sʔi nun mazatzintamalt͡so.
87	tzin	Yocotzin,	Ra nthädi ra Yocotzin, ra nänä ra Ixtlilxóchitl	ra ntjädi ra yotsotzin, ra nänä ra ixtlilxóchitl	ra nthädi ra yotsotzin, ra nänä ra ixtlilxóchitl	ra nthädi ra yotsotzin, ra nänä ra ixtlilxótxitl	ra nthᶏdi ra yocotzin, ra nᶏnᶏ ra ištlilšóčitl	ra nthãdi ra jot͡sotzin, ra nãnã ra iʃtlilʃót͡ʃitl
88	tzin	Pizotzin.	Ebu̱ ra ndá mra Menga nuni ra Culhuacan mra thuhu ra Pizotzin. Gatho yoho bra ts'u̱tibu̱ .	ebu̱ ra ndá mra menga nuni ra tsuljuatsan mra tjuju ra pizotzin. gatjo yojo bra ts'u̱tibu̱ .	ebu̱ ra ndá mra menga nuni ra tsulhuatsan mra thuhu ra pizotzin. gatho yoho bra ts'u̱tibu̱ .	ebu̱ ra ndá mra menga nuni ra tsulhuatsan mra thuhu ra pizotzin. gatho yoho bra ts'u̱tibu̱ .	ebɨ ra ndá mra menga nuni ra culhuacan mra thuhu ra pizotzin. gatho yoho bra cʔɨtibɨ .	ebɨ ra ndá mɾa menga nuni ra t͡sulhuat͡san mɾa thuhu ra pizotzin. gatho joho bɾa t͡sʔɨtibɨ .
89	tzin	Malintzin:	Nub'u̱ xki y'ode bri bkpabi dra thutsuabi ya nthát'i. Ba ehe dra xipi ra Malintzin:	nub'u̱ xki y'ode bri bkpabi dra tjutsuabi ya ntját'i. ba eje dra xipi ra malintzin:	nub'u̱ xki y'ode bri bkpabi dra thutsuabi ya nthát'i. ba ehe dra xipi ra malintzin:	nub'u̱ xki y'ode bri bkpabi dra thutsuabi ya nthát'i. ba ehe dra xipi ra malintzin:	nubʔɨ ški yʔode bri bkpabi dra thucuabi ya nthátʔi. ba ehe dra šipi ra malintzin:	nubʔɨ ʃki jʔode bɾi bkpabi dɾa thut͡suabi ja nthátʔi. ba ehe dɾa ʃipi ra malintzin:
90	tzin	Chiyauhtzinco,	Nuua di udihe ra hñäpi bi nto̱t'e bi nja ra agosto ra je̱ya 1595, n'a ra jä'i mra thuhu ra Miguel Hernández, ra me Chiyauhtzinco,	nuua di udije ra jñäpi bi nto̱t'e bi nja ra agosto ra je̱ya 1595, n'a ra jä'i mra tjuju ra miguel jernández, ra me chiyaujtzintso,	nuua di udihe ra hñäpi bi nto̱t'e bi nja ra agosto ra je̱ya 1595, n'a ra jä'i mra thuhu ra miguel hernández, ra me chiyauhtzintso,	nuua di udihe ra hñäpi bi nto̱t'e bi nja ra agosto ra je̱ya 1595, n'a ra jä'i mra thuhu ra miguel hernández, ra me txiyauhtzintso,	nuua di udihe ra hñᶏpi bi ntɔtʔe bi nkha ra agosto ra khɛya 1595, nʔa ra khᶏʔi mra thuhu ra miguel hernández, ra me čiyauhtzinco,	nuua di udihe ra hɲãpi bi ntɔtʔe bi nkha ra agosto ra khɛja 1595, nʔa ra khãʔi mɾa thuhu ra miguel heɾnández, ra me t͡ʃijauhtzint͡so,
91	tzin	Huexotzinco,	Nuna m'e̱hna nt'ofo bri t'o̱t'e ha ra hnini Huexotzinco, ra 30 ra julio, ra je̱ya 1560 ra b'u̱i ma zi dada ra Jesucristo.	nuna m'e̱jna nt'ofo bri t'o̱t'e ja ra jnini juexotzintso, ra 30 ra julio, ra je̱ya 1560 ra b'u̱i ma zi dada ra jesutsristo.	nuna m'e̱hna nt'ofo bri t'o̱t'e ha ra hnini huexotzintso, ra 30 ra julio, ra je̱ya 1560 ra b'u̱i ma zi dada ra jesutsristo.	nuna m'e̱hna nt'ofo bri t'o̱t'e ha ra hnini huexotzintso, ra 30 ra julio, ra je̱ya 1560 ra b'u̱i ma zi dada ra jesutsristo.	nuna mʔɛhna ntʔopho bri tʔɔtʔe ha ra hnini huešotzinco, ra 30 ra khulio, ra khɛya 1560 ra bʔɨi ma zi dada ra khesucristo.	nuna mʔɛhna ntʔoɸo bɾi tʔɔtʔe ha ra hnini hueʃotzint͡so, ra 30 ra khulio, ra khɛja 1560 ra bʔɨi ma zi dada ra khesut͡sɾisto.
92	tzin	Tetlepanquetzaltzin,	inbi za bi o̱t'a se̱he̱ ra nge'a mi y'o ha na ra t'u̱ ra mätsa pe nza bi mihi yoho habu̱ mi pa nuya t'u̱ ya ndä ne ya bo̱nahmu, ngu'a ra Tetlepanquetzaltzin,	inbi za bi o̱t'a se̱je̱ ra nge'a mi y'o ja na ra t'u̱ ra mätsa pe nza bi miji yojo jabu̱ mi pa nuya t'u̱ ya ndä ne ya bo̱najmu, ngu'a ra tetlepanquetzaltzin,	inbi za bi o̱t'a se̱he̱ ra nge'a mi y'o ha na ra t'u̱ ra mätsa pe nza bi mihi yoho habu̱ mi pa nuya t'u̱ ya ndä ne ya bo̱nahmu, ngu'a ra tetlepanquetzaltzin,	inbi za bi o̱t'a se̱he̱ ra nge'a mi y'o ha na ra t'u̱ ra mätsa pe nza bi mihi yoho habu̱ mi pa nuya t'u̱ ya ndä ne ya bo̱nahmu, ngu'a ra tetlepanquetzaltzin,	inbi za bi ɔtʔa sɛhɛ ra ngeʔa mi yʔo ha na ra tʔɨ ra mᶏca pe nza bi mihi yoho habɨ mi pa nuya tʔɨ ya ndᶏ ne ya bɔnahmu, nguʔa ra tetlepanquetzaltzin,	inbi za bi ɔtʔa sɛhɛ ra ngeʔa mi jʔo ha na ra tʔɨ ra mãt͡sa pe nza bi mihi joho habɨ mi pa nuja tʔɨ ja ndã ne ja bɔnahmu, nguʔa ra tetlepanquetzaltzin,
