	Palabra	Aparece en:	OTS	INALI	OTQ	RFE	fon
25	hanja	ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu	ne ya nt'u̱i, janja di tjuts'i ya nt'ofo, njap'u̱ neje mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra jñäjñu	ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu	ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu	ne ya ntʔɨi, hankha di thucʔi ya ntʔopho, nkhapʔɨ nehe mᶏ ʔra ya mpeɨi da phacʔi di ntʔotʔi ra hñᶏhñu	ne ja ntʔɨi, hankha di thut͡sʔi ja ntʔoɸo, nkhapʔɨ nehe mã ʔɾa ja mpeɨi da ɸat͡sʔi di ntʔotʔi ra hɲãhɲu
26	hanja	¿Hanja njabu̱, hanja ra tsoki	¿janja njabu̱, janja ra tsoki	¿hanja njabu̱, hanja ra tsoki	¿hanja njabu̱, hanja ra tsoki	¿hankha nkhabɨ, hankha ra coki	¿hankha nkhabɨ, hankha ra t͡soki
27	hanja	Nehe bi hyandi hanja inbi ntsu nub´u̱ xki handi  ya fani,ne nu´a mi   o̱t´e ya ñämfo̱ mi to̱pu̱[...]	neje bi jyandi janja inbi ntsu nub´u̱ xki jandi ya fani,ne nu´a mi o̱t´e ya ñämfo̱ mi to̱pu̱[...]	nehe bi hyandi hanja inbi ntsu nub´u̱ xki handi ya fani,ne nu´a mi o̱t´e ya ñämfo̱ mi to̱pu̱[...]	nehe bi hyandi hanja inbi ntsu nub´u̱ xki handi ya fani,ne nu´a mi o̱t´e ya ñämfo̱ mi to̱pu̱[...]	nehe bi hyandi hankha inbi ncu nub´ɨ ški handi ya phani,ne nu´a mi ɔt´e ya ñᶏmphɔ mi tɔpɨ[...]	nehe bi hjandi hankha inbi nt͡su nub´ɨ ʃki handi ja ɸani,ne nu´a mi ɔt´e ja ɲãmɸɔ mi tɔpɨ[...]
28	hanja	ra Cortés ne ra makja mi ñ'oui di xipabi te gatho te da o̱t'e. Nu'a bi thädi ge da t'u̱mbabi m'e̱fa, ri mu̱di n'a ra jä'i da xipabi hanja ri bo̱nga nuna nxistehe.	ra tsortés ne ra makja mi ñ'oui di xipabi te gatjo te da o̱t'e. nu'a bi tjädi ge da t'u̱mbabi m'e̱fa, ri mu̱di n'a ra jä'i da xipabi janja ri bo̱nga nuna nxisteje.	ra tsortés ne ra makja mi ñ'oui di xipabi te gatho te da o̱t'e. nu'a bi thädi ge da t'u̱mbabi m'e̱fa, ri mu̱di n'a ra jä'i da xipabi hanja ri bo̱nga nuna nxistehe.	ra tsortés ne ra makja mi ñ'oui di xipabi te gatho te da o̱t'e. nu'a bi thädi ge da t'u̱mbabi m'e̱fa, ri mu̱di n'a ra jä'i da xipabi hanja ri bo̱nga nuna nxistehe.	ra cortés ne ra makkha mi ñʔoui di šipabi te gatho te da ɔtʔe. nuʔa bi thᶏdi ge da tʔɨmbabi mʔɛpha, ri mɨdi nʔa ra khᶏʔi da šipabi hankha ri bɔnga nuna nšistehe.	ra t͡soɾtés ne ra makkha mi ɲʔoui di ʃipabi te gatho te da ɔtʔe. nuʔa bi thãdi ge da tʔɨmbabi mʔɛɸa, ri mɨdi nʔa ra khãʔi da ʃipabi hankha ri bɔnga nuna nʃistehe.
29	hanja	Nuga̱ xi di ne'i, hindi pädi hanja...   	nuga̱ xi di ne'i, jindi pädi janja...	nuga̱ xi di ne'i, hindi pädi hanja...	nuga̱ xi di ne'i, hindi pädi hanja...	nugʌ ši di neʔi, hindi pᶏdi hankha...	nugə ʃi di neʔi, hindi pãdi hankha...
30	hanja	ne nu'a thuts'i ra nt'o̱t'e ra Cortés habu̱ ra za ne hanja bi o̱tuabi ra ñ'u̱ ya ndä ya ndeznä pa da dapabi gatho ra k'astaboja ne mar'a ya m'e̱tsaboja mi pe̱tsi mi o̱t'a ya mapa xki thogi manteb'u̱.	ne nu'a tjuts'i ra nt'o̱t'e ra tsortés jabu̱ ra za ne janja bi o̱tuabi ra ñ'u̱ ya ndä ya ndeznä pa da dapabi gatjo ra k'astaboja ne mar'a ya m'e̱tsaboja mi pe̱tsi mi o̱t'a ya mapa xki tjogi manteb'u̱.	ne nu'a thuts'i ra nt'o̱t'e ra tsortés habu̱ ra za ne hanja bi o̱tuabi ra ñ'u̱ ya ndä ya ndeznä pa da dapabi gatho ra k'astaboja ne mar'a ya m'e̱tsaboja mi pe̱tsi mi o̱t'a ya mapa xki thogi manteb'u̱.	ne nu'a thuts'i ra nt'o̱t'e ra tsortés habu̱ ra za ne hanja bi o̱tuabi ra ñ'u̱ ya ndä ya ndeznä pa da dapabi gatho ra k'astaboja ne mar'a ya m'e̱tsaboja mi pe̱tsi mi o̱t'a ya mapa xki thogi manteb'u̱.	ne nuʔa thucʔi ra ntʔɔtʔe ra cortés habɨ ra za ne hankha bi ɔtuabi ra ñʔɨ ya ndᶏ ya ndeznᶏ pa da dapabi gatho ra kʔastabokha ne marʔa ya mʔɛcabokha mi pɛci mi ɔtʔa ya mapa ški thogi mantebʔɨ.	ne nuʔa thut͡sʔi ra ntʔɔtʔe ra t͡soɾtés habɨ ra za ne hankha bi ɔtuabi ra ɲʔɨ ja ndã ja ndeznã pa da dapabi gatho ra kʔastabokha ne maɾʔa ja mʔɛt͡sabokha mi pɛt͡si mi ɔtʔa ja mapa ʃki thogi mantebʔɨ.
31	hanja	Ebu̱  nuni Huey Mo'u̱an ne Cuauhtemala ne ra Tecuantépec. Ha bi juadi nuua. Ra hmä hanja ya thogi thuts'i nuna hgm'i.	ebu̱ nuni juey mo'u̱an ne tsuaujtemala ne ra tetsuantépets. ja bi juadi nuua. ra jmä janja ya tjogi tjuts'i nuna jgm'i.	ebu̱ nuni huey mo'u̱an ne tsuauhtemala ne ra tetsuantépets. ha bi juadi nuua. ra hmä hanja ya thogi thuts'i nuna hgm'i.	ebu̱ nuni huey mo'u̱an ne tsuauhtemala ne ra tetsuantépets. ha bi juadi nuua. ra hmä hanja ya thogi thuts'i nuna hgm'i.	ebɨ nuni huey moʔɨan ne cuauhtemala ne ra tecuantépec. ha bi khuadi nuua. ra hmᶏ hankha ya thogi thucʔi nuna hgmʔi.	ebɨ nuni huej moʔɨan ne t͡suauhtemala ne ra tet͡suantépet͡s. ha bi khuadi nuua. ra hmã hankha ja thogi thut͡sʔi nuna hgmʔi.
32	hanja	Pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zugagihe, ¿hanja, nuua, ra hyo di ge'a, ga tsogi nubu̱ [nu'a ma b'e̱hña]?	pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zugagije, ¿janja, nuua, ra jyo di ge'a, ga tsogi nubu̱ [nu'a ma b'e̱jña]?	pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zugagihe, ¿hanja, nuua, ra hyo di ge'a, ga tsogi nubu̱ [nu'a ma b'e̱hña]?	pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zugagihe, ¿hanja, nuua, ra hyo di ge'a, ga tsogi nubu̱ [nu'a ma b'e̱hña]?	pe, nuʔi ndada nuʔi ma tʔekʔei ra makkha, nubʔɨ nuʔi ingi zugagihe, ¿hankha, nuua, ra hyo di geʔa, ga cogi nubɨ [nuʔa ma bʔɛhña]?	pe, nuʔi ndada nuʔi ma tʔekʔei ra makkha, nubʔɨ nuʔi ingi zugagihe, ¿hankha, nuua, ra hjo di geʔa, ga t͡sogi nubɨ [nuʔa ma bʔɛhɲa]?
33	hanja	N'a ra xe̱ni hmä ge mi pe̱tsi ra paha da bädi ra b'ede nuya hnini habu̱ mi b'u̱i ya mu̱dimehai, da unga ngue̱nda hanja pe̱tsi ra se̱he̱ nthandi di geb'u̱ bi ts'oki nu'a ra ts'okat'o̱t'amfeni.	n'a ra xe̱ni jmä ge mi pe̱tsi ra paja da bädi ra b'ede nuya jnini jabu̱ mi b'u̱i ya mu̱dimejai, da unga ngue̱nda janja pe̱tsi ra se̱je̱ ntjandi di geb'u̱ bi ts'oki nu'a ra ts'okat'o̱t'amfeni.	n'a ra xe̱ni hmä ge mi pe̱tsi ra paha da bädi ra b'ede nuya hnini habu̱ mi b'u̱i ya mu̱dimehai, da unga ngue̱nda hanja pe̱tsi ra se̱he̱ nthandi di geb'u̱ bi ts'oki nu'a ra ts'okat'o̱t'amfeni.	n'a ra xe̱ni hmä ge mi pe̱tsi ra paha da bädi ra b'ede nuya hnini habu̱ mi b'u̱i ya mu̱dimehai, da unga ngue̱nda hanja pe̱tsi ra se̱he̱ nthandi di geb'u̱ bi ts'oki nu'a ra ts'okat'o̱t'amfeni.	nʔa ra šɛni hmᶏ ge mi pɛci ra paha da bᶏdi ra bʔede nuya hnini habɨ mi bʔɨi ya mɨdimehai, da unga nguɛnda hankha pɛci ra sɛhɛ nthandi di gebʔɨ bi cʔoki nuʔa ra cʔokatʔɔtʔampheni.	nʔa ra ʃɛni hmã ge mi pɛt͡si ra paha da bãdi ra bʔede nuja hnini habɨ mi bʔɨi ja mɨdimehai, da unga nguɛnda hankha pɛt͡si ra sɛhɛ nthandi di gebʔɨ bi t͡sʔoki nuʔa ra t͡sʔokatʔɔtʔamɸeni.
34	hanja	Nuna di njaua ngetho hinñ'otho hanja gi hñuts'i ko dänt'ot'i ne t'u̱nt'ot'i ra'. Ngu:	nuna di njaua ngetjo jinñ'otjo janja gi jñuts'i ko dänt'ot'i ne t'u̱nt'ot'i ra'. ngu:	nuna di njaua ngetho hinñ'otho hanja gi hñuts'i ko dänt'ot'i ne t'u̱nt'ot'i ra'. ngu:	nuna di njaua ngetho hinñ'otho hanja gi hñuts'i ko dänt'ot'i ne t'u̱nt'ot'i ra'. ngu:	nuna di nkhaua ngetho hinñʔotho hankha gi hñucʔi ko dᶏntʔotʔi ne tʔɨntʔotʔi raʔ. ngu:	nuna di nkhaua ngetho hinɲʔotho hankha gi hɲut͡sʔi ko dãntʔotʔi ne tʔɨntʔotʔi raʔ. ngu:
35	hanja	Honse̱he̱ ko ra ñ'ute bi tho, honse̱he̱ ngu ya xada mbri tho, Inbi bädi hanja bri tho.	jonse̱je̱ ko ra ñ'ute bi tjo, jonse̱je̱ ngu ya xada mbri tjo, inbi bädi janja bri tjo.	honse̱he̱ ko ra ñ'ute bi tho, honse̱he̱ ngu ya xada mbri tho, inbi bädi hanja bri tho.	honse̱he̱ ko ra ñ'ute bi tho, honse̱he̱ ngu ya xada mbri tho, inbi bädi hanja bri tho.	honsɛhɛ ko ra ñʔute bi tho, honsɛhɛ ngu ya šada mbri tho, inbi bᶏdi hankha bri tho.	honsɛhɛ ko ra ɲʔute bi tho, honsɛhɛ ngu ja ʃada mbɾi tho, inbi bãdi hankha bɾi tho.
36	hanja	bi y'adi da hmati ya nuta tso ne ya bädi ge mi jamfri ya bahmía, Nub'u̱ bi i tso̱ho̱ da nu bi xipabi ra hanja bi hmati.	bi y'adi da jmati ya nuta tso ne ya bädi ge mi jamfri ya bajmía, nub'u̱ bi i tso̱jo̱ da nu bi xipabi ra janja bi jmati.	bi y'adi da hmati ya nuta tso ne ya bädi ge mi jamfri ya bahmía, nub'u̱ bi i tso̱ho̱ da nu bi xipabi ra hanja bi hmati.	bi y'adi da hmati ya nuta tso ne ya bädi ge mi jamfri ya bahmía, nub'u̱ bi i tso̱ho̱ da nu bi xipabi ra hanja bi hmati.	bi yʔadi da hmati ya nuta co ne ya bᶏdi ge mi khamphri ya bahmía, nubʔɨ bi i cɔhɔ da nu bi šipabi ra hankha bi hmati.	bi jʔadi da hmati ja nuta t͡so ne ja bãdi ge mi khamɸɾi ja bahmía, nubʔɨ bi i t͡sɔhɔ da nu bi ʃipabi ra hankha bi hmati.
37	hanja	Ri ñ'ehe gi pädihu gra bähmíahu, hanja nugi sta handi dänga ne n'añ'o thogi, ngu n'a ra ts'ints'u̱ mi ja ngu n'a ra mem'astä bi ts'ixkagi, dige'a nuya pa xa thogi inxa thandi ni ya mets'ints'u̱ inxa ho, nu'a ra mem'astä xi ra nxini nehe ri hneki ri mo̱te ri hñäts'i n'a ra hñe,	ri ñ'eje gi pädiju gra bäjmíaju, janja nugi sta jandi dänga ne n'añ'o tjogi, ngu n'a ra ts'ints'u̱ mi ja ngu n'a ra mem'astä bi ts'ixkagi, dige'a nuya pa xa tjogi inxa tjandi ni ya mets'ints'u̱ inxa jo, nu'a ra mem'astä xi ra nxini neje ri jneki ri mo̱te ri jñäts'i n'a ra jñe,	ri ñ'ehe gi pädihu gra bähmíahu, hanja nugi sta handi dänga ne n'añ'o thogi, ngu n'a ra ts'ints'u̱ mi ja ngu n'a ra mem'astä bi ts'ixkagi, dige'a nuya pa xa thogi inxa thandi ni ya mets'ints'u̱ inxa ho, nu'a ra mem'astä xi ra nxini nehe ri hneki ri mo̱te ri hñäts'i n'a ra hñe,	ri ñ'ehe gi pädihu gra bähmíahu, hanja nugi sta handi dänga ne n'añ'o thogi, ngu n'a ra ts'ints'u̱ mi ja ngu n'a ra mem'astä bi ts'ixkagi, dige'a nuya pa xa thogi inxa thandi ni ya mets'ints'u̱ inxa ho, nu'a ra mem'astä xi ra nxini nehe ri hneki ri mo̱te ri hñäts'i n'a ra hñe,	ri ñʔehe gi pᶏdihu gra bᶏhmíahu, hankha nugi sta handi dᶏnga ne nʔañʔo thogi, ngu nʔa ra cʔincʔɨ mi kha ngu nʔa ra memʔastᶏ bi cʔiškagi, digeʔa nuya pa ša thogi inša thandi ni ya mecʔincʔɨ inša ho, nuʔa ra memʔastᶏ ši ra nšini nehe ri hneki ri mɔte ri hñᶏcʔi nʔa ra hñe,	ri ɲʔehe gi pãdihu gɾa bãhmíahu, hankha nugi sta handi dãnga ne nʔaɲʔo thogi, ngu nʔa ra t͡sʔint͡sʔɨ mi kha ngu nʔa ra memʔastã bi t͡sʔiʃkagi, digeʔa nuja pa ʃa thogi inʃa thandi ni ja met͡sʔint͡sʔɨ inʃa ho, nuʔa ra memʔastã ʃi ra nʃini nehe ri hneki ri mɔte ri hɲãt͡sʔi nʔa ra hɲe,
38	hanja	1. Ya nt'ofo ne hanja di nt'ot'i, habu bi gohi ya nt'ofo  di nt'ot'i ra hñähñu. 	1. ya nt'ofo ne janja di nt'ot'i, jabu bi goji ya nt'ofo di nt'ot'i ra jñäjñu.	1. ya nt'ofo ne hanja di nt'ot'i, habu bi gohi ya nt'ofo di nt'ot'i ra hñähñu.	1. ya nt'ofo ne hanja di nt'ot'i, habu bi gohi ya nt'ofo di nt'ot'i ra hñähñu.	1. ya ntʔopho ne hankha di ntʔotʔi, habu bi gohi ya ntʔopho di ntʔotʔi ra hñᶏhñu.	1. ja ntʔoɸo ne hankha di ntʔotʔi, habu bi gohi ja ntʔoɸo di ntʔotʔi ra hɲãhɲu.
39	hanja	fu̱di mä hanja bi yu̱t'a ne ra hneki ya n'añ'o jä'i te xki munts'a ya du̱gu nuya ts'okate.	fu̱di mä janja bi yu̱t'a ne ra jneki ya n'añ'o jä'i te xki munts'a ya du̱gu nuya ts'okate.	fu̱di mä hanja bi yu̱t'a ne ra hneki ya n'añ'o jä'i te xki munts'a ya du̱gu nuya ts'okate.	fu̱di mä hanja bi yu̱t'a ne ra hneki ya n'añ'o jä'i te xki munts'a ya du̱gu nuya ts'okate.	phɨdi mᶏ hankha bi yɨtʔa ne ra hneki ya nʔañʔo khᶏʔi te ški muncʔa ya dɨgu nuya cʔokate.	ɸɨdi mã hankha bi jɨtʔa ne ra hneki ja nʔaɲʔo khãʔi te ʃki munt͡sʔa ja dɨgu nuja t͡sʔokate.
40	hanja	Mi ne da pädi hanja mi nja ra hñute po̱de xa nja ya m'e̱fa ntuhni, o ya ñ'onthi.	mi ne da pädi janja mi nja ra jñute po̱de xa nja ya m'e̱fa ntujni, o ya ñ'ontji.	mi ne da pädi hanja mi nja ra hñute po̱de xa nja ya m'e̱fa ntuhni, o ya ñ'onthi.	mi ne da pädi hanja mi nja ra hñute po̱de xa nja ya m'e̱fa ntuhni, o ya ñ'onthi.	mi ne da pᶏdi hankha mi nkha ra hñute pɔde ša nkha ya mʔɛpha ntuhni, o ya ñʔonthi.	mi ne da pãdi hankha mi nkha ra hɲute pɔde ʃa nkha ja mʔɛɸa ntuhni, o ja ɲʔonthi.
41	hanja	Ha nub'u̱ nuya he̱m'i huts'i ya nthandi nuya ndeznä tengu nua mi beni ne ya kamfri nehe hanja xki tso̱ho̱ nuya ñämfo̱:	ja nub'u̱ nuya je̱m'i juts'i ya ntjandi nuya ndeznä tengu nua mi beni ne ya kamfri neje janja xki tso̱jo̱ nuya ñämfo̱:	ha nub'u̱ nuya he̱m'i huts'i ya nthandi nuya ndeznä tengu nua mi beni ne ya kamfri nehe hanja xki tso̱ho̱ nuya ñämfo̱:	ha nub'u̱ nuya he̱m'i huts'i ya nthandi nuya ndeznä tengu nua mi beni ne ya kamfri nehe hanja xki tso̱ho̱ nuya ñämfo̱:	ha nubʔɨ nuya hɛmʔi hucʔi ya nthandi nuya ndeznᶏ tengu nua mi beni ne ya kamphri nehe hankha ški cɔhɔ nuya ñᶏmphɔ:	ha nubʔɨ nuja hɛmʔi hut͡sʔi ja nthandi nuja ndeznã tengu nua mi beni ne ja kamɸɾi nehe hankha ʃki t͡sɔhɔ nuja ɲãmɸɔ:
42	hanja	Ne ma r'a bi de̱ni, ebu̱ bi xipabi te ri bo̱ni nu'a ra nxistehe. Pa di ngätsi ya noya bi mä ge nu'a ra Dänga Ndä ra Täayä Carlos bi hnek te ra hanja ra m'u̱i gatho nu'a ya me R'ayo Manhyati mi adi bi bänte ge da bädi ge ge'a,	ne ma r'a bi de̱ni, ebu̱ bi xipabi te ri bo̱ni nu'a ra nxisteje. pa di ngätsi ya noya bi mä ge nu'a ra dänga ndä ra täayä tsarlos bi jnek te ra janja ra m'u̱i gatjo nu'a ya me r'ayo manjyati mi adi bi bänte ge da bädi ge ge'a,	ne ma r'a bi de̱ni, ebu̱ bi xipabi te ri bo̱ni nu'a ra nxistehe. pa di ngätsi ya noya bi mä ge nu'a ra dänga ndä ra täayä tsarlos bi hnek te ra hanja ra m'u̱i gatho nu'a ya me r'ayo manhyati mi adi bi bänte ge da bädi ge ge'a,	ne ma r'a bi de̱ni, ebu̱ bi xipabi te ri bo̱ni nu'a ra nxistehe. pa di ngätsi ya noya bi mä ge nu'a ra dänga ndä ra täayä tsarlos bi hnek te ra hanja ra m'u̱i gatho nu'a ya me r'ayo manhyati mi adi bi bänte ge da bädi ge ge'a,	ne ma rʔa bi dɛni, ebɨ bi šipabi te ri bɔni nuʔa ra nšistehe. pa di ngᶏci ya noya bi mᶏ ge nuʔa ra dᶏnga ndᶏ ra tᶏayᶏ carlos bi hnek te ra hankha ra mʔɨi gatho nuʔa ya me rʔayo manhyati mi adi bi bᶏnte ge da bᶏdi ge geʔa,	ne ma rʔa bi dɛni, ebɨ bi ʃipabi te ri bɔni nuʔa ra nʃistehe. pa di ngãt͡si ja noja bi mã ge nuʔa ra dãnga ndã ra tãajã t͡saɾlos bi hnek te ra hankha ra mʔɨi gatho nuʔa ja me rʔajo manhjati mi adi bi bãnte ge da bãdi ge geʔa,
43	hanja	¿Tema 'ñänt'u̱nu̱? Bi 'ñeno ne bi fo̱te ha ra xido mi mahye̱tho, mí zo̱nga ha ra ha̱i bi dehmi xa bi mfont'i ya domhi ne xa bi nxanga ra 'bomu ha gatho bi zoo, ne nuna ra me̱jua xa bi mbo̱ rá kue̱ bi menga rá nguu nda zi no'ä xki nzäi mi tsi hyax'mu̱. Pe 'randi ra ma'ye mi panu̱ man'a ra ñ'o̱ho̱ mi handi xiñho habu̱ mi 'yo no'ä man'a ngetho ra hyadi mi kohi ha rá xutha, jange bi hyandi mi 'ye̱nga ra 'bada ne hanja bi nxanga ya h'e̱xka bojä ne xki ts'op'u̱. 	¿tema 'ñänt'u̱nu̱? bi 'ñeno ne bi fo̱te ja ra xido mi majye̱tjo, mí zo̱nga ja ra ja̱i bi dejmi xa bi mfont'i ya domji ne xa bi nxanga ra 'bomu ja gatjo bi zoo, ne nuna ra me̱jua xa bi mbo̱ rá kue̱ bi menga rá nguu nda zi no'ä xki nzäi mi tsi jyax'mu̱. pe 'randi ra ma'ye mi panu̱ man'a ra ñ'o̱jo̱ mi jandi xiñjo jabu̱ mi 'yo no'ä man'a ngetjo ra jyadi mi koji ja rá xutja, jange bi jyandi mi 'ye̱nga ra 'bada ne janja bi nxanga ya j'e̱xka bojä ne xki ts'op'u̱.	¿tema 'ñänt'u̱nu̱? bi 'ñeno ne bi fo̱te ha ra xido mi mahye̱tho, mí zo̱nga ha ra ha̱i bi dehmi xa bi mfont'i ya domhi ne xa bi nxanga ra 'bomu ha gatho bi zoo, ne nuna ra me̱jua xa bi mbo̱ rá kue̱ bi menga rá nguu nda zi no'ä xki nzäi mi tsi hyax'mu̱. pe 'randi ra ma'ye mi panu̱ man'a ra ñ'o̱ho̱ mi handi xiñho habu̱ mi 'yo no'ä man'a ngetho ra hyadi mi kohi ha rá xutha, jange bi hyandi mi 'ye̱nga ra 'bada ne hanja bi nxanga ya h'e̱xka bojä ne xki ts'op'u̱.	¿tema 'ñänt'u̱nu̱? bi 'ñeno ne bi fo̱te ha ra xido mi mahye̱tho, mí zo̱nga ha ra ha̱i bi dehmi xa bi mfont'i ya domhi ne xa bi nxanga ra 'bomu ha gatho bi zoo, ne nuna ra me̱jua xa bi mbo̱ rá kue̱ bi menga rá nguu nda zi no'ä xki nzäi mi tsi hyax'mu̱. pe 'randi ra ma'ye mi panu̱ man'a ra ñ'o̱ho̱ mi handi xiñho habu̱ mi 'yo no'ä man'a ngetho ra hyadi mi kohi ha rá xutha, jange bi hyandi mi 'ye̱nga ra 'bada ne hanja bi nxanga ya h'e̱xka bojä ne xki ts'op'u̱.	¿tema ʔñᶏntʔɨnɨ? bi ʔñeno ne bi phɔte ha ra šido mi mahyɛtho, mí zɔnga ha ra hʌi bi dehmi ša bi mphontʔi ya domhi ne ša bi nšanga ra ʔbomu ha gatho bi zoo, ne nuna ra mɛkhua ša bi mbɔ rá kuɛ bi menga rá nguu nda zi noʔᶏ ški nzᶏi mi ci hyašʔmɨ. pe ʔrandi ra maʔye mi panɨ manʔa ra ñʔɔhɔ mi handi šiñho habɨ mi ʔyo noʔᶏ manʔa ngetho ra hyadi mi kohi ha rá šutha, khange bi hyandi mi ʔyɛnga ra ʔbada ne hankha bi nšanga ya hʔɛška bokhᶏ ne ški cʔopʔɨ.	¿tema ʔɲãntʔɨnɨ? bi ʔɲeno ne bi ɸɔte ha ra ʃido mi mahjɛtho, mí zɔnga ha ra həi bi dehmi ʃa bi mɸontʔi ja domhi ne ʃa bi nʃanga ra ʔbomu ha gatho bi zoo, ne nuna ra mɛkhua ʃa bi mbɔ rá kuɛ bi menga rá nguu nda zi noʔã ʃki nzãi mi t͡si hjaʃʔmɨ. pe ʔɾandi ra maʔje mi panɨ manʔa ra ɲʔɔhɔ mi handi ʃiɲho habɨ mi ʔjo noʔã manʔa ngetho ra hjadi mi kohi ha rá ʃutha, khange bi hjandi mi ʔjɛnga ra ʔbada ne hankha bi nʃanga ja hʔɛʃka bokhã ne ʃki t͡sʔopʔɨ.
44	hanja	Ra hmä, ra Historia de Tlaxcala ge'a huts'i bi mponi ma n'añ'o ri hmä ge nuya mecholula bi unga ra ts'oki pa da guadi se̱he̱, hanja imbi hyopi bi o̱t'e ya ñämfo̱ ne bi hyo ya yohmi jä'i ra Patlahuatzin,	ra jmä, ra jistoria de tlaxtsala ge'a juts'i bi mponi ma n'añ'o ri jmä ge nuya mecholula bi unga ra ts'oki pa da guadi se̱je̱, janja imbi jyopi bi o̱t'e ya ñämfo̱ ne bi jyo ya yojmi jä'i ra patlajuatzin,	ra hmä, ra historia de tlaxtsala ge'a huts'i bi mponi ma n'añ'o ri hmä ge nuya mecholula bi unga ra ts'oki pa da guadi se̱he̱, hanja imbi hyopi bi o̱t'e ya ñämfo̱ ne bi hyo ya yohmi jä'i ra patlahuatzin,	ra hmä, ra historia de tlaxtsala ge'a huts'i bi mponi ma n'añ'o ri hmä ge nuya metxolula bi unga ra ts'oki pa da guadi se̱he̱, hanja imbi hyopi bi o̱t'e ya ñämfo̱ ne bi hyo ya yohmi jä'i ra patlahuatzin,	ra hmᶏ, ra historia de tlašcala geʔa hucʔi bi mponi ma nʔañʔo ri hmᶏ ge nuya mečolula bi unga ra cʔoki pa da guadi sɛhɛ, hankha imbi hyopi bi ɔtʔe ya ñᶏmphɔ ne bi hyo ya yohmi khᶏʔi ra patlahuatzin,	ra hmã, ra histoɾia de tlaʃt͡sala geʔa hut͡sʔi bi mponi ma nʔaɲʔo ri hmã ge nuja met͡ʃolula bi unga ra t͡sʔoki pa da guadi sɛhɛ, hankha imbi hjopi bi ɔtʔe ja ɲãmɸɔ ne bi hjo ja johmi khãʔi ra patlahuatzin,
45	hanja	mi mä te xki tähäbi nuya jä'i ne hanja xki b'e̱di ne hanja bi du ndunthi ma r'a, xki juadi gatho nuna ts'ogañ'u̱ bi t'o̱t'e ha nuna xe̱ni ra pa, nehe nu'a ra po̱taajuä ra Quetzalcohuatl inte bi mfaste ne inte bi o̱t'e pa da ñäni nuna ts'othogi bi t'o̱t'e	mi mä te xki täjäbi nuya jä'i ne janja xki b'e̱di ne janja bi du nduntji ma r'a, xki juadi gatjo nuna ts'ogañ'u̱ bi t'o̱t'e ja nuna xe̱ni ra pa, neje nu'a ra po̱taajuä ra quetzaltsojuatl inte bi mfaste ne inte bi o̱t'e pa da ñäni nuna ts'otjogi bi t'o̱t'e	mi mä te xki tähäbi nuya jä'i ne hanja xki b'e̱di ne hanja bi du ndunthi ma r'a, xki juadi gatho nuna ts'ogañ'u̱ bi t'o̱t'e ha nuna xe̱ni ra pa, nehe nu'a ra po̱taajuä ra quetzaltsohuatl inte bi mfaste ne inte bi o̱t'e pa da ñäni nuna ts'othogi bi t'o̱t'e	mi mä te xki tähäbi nuya jä'i ne hanja xki b'e̱di ne hanja bi du ndunthi ma r'a, xki juadi gatho nuna ts'ogañ'u̱ bi t'o̱t'e ha nuna xe̱ni ra pa, nehe nu'a ra po̱taajuä ra quetzaltsohuatl inte bi mfaste ne inte bi o̱t'e pa da ñäni nuna ts'othogi bi t'o̱t'e	mi mᶏ te ški tᶏhᶏbi nuya khᶏʔi ne hankha ški bʔɛdi ne hankha bi du ndunthi ma rʔa, ški khuadi gatho nuna cʔogañʔɨ bi tʔɔtʔe ha nuna šɛni ra pa, nehe nuʔa ra pɔtaakhuᶏ ra quetzalcohuatl inte bi mphaste ne inte bi ɔtʔe pa da ñᶏni nuna cʔothogi bi tʔɔtʔe	mi mã te ʃki tãhãbi nuja khãʔi ne hankha ʃki bʔɛdi ne hankha bi du ndunthi ma rʔa, ʃki khuadi gatho nuna t͡sʔogaɲʔɨ bi tʔɔtʔe ha nuna ʃɛni ra pa, nehe nuʔa ra pɔtaakhuã ra quetzalt͡sohuatl inte bi mɸaste ne inte bi ɔtʔe pa da ɲãni nuna t͡sʔothogi bi tʔɔtʔe
