INALI	OTS
ne nu'u̱ bi mani dra ts'okat'o̱t'amfeni nuni Michoacán, Xalisco, Culhuacan ne nuni nehe Pánuco, ne nuni Oaxaca, Tehuantepec ne Guatemala, ne nuua ra r'ayo mahyati, nub'u̱ bri t'o̱t'a ra mabagi pa dra uadi dra t'o̱t'a nu'a ra ts'okat'o̱t'amfeni inda tsogihe se̱he̱.	ne nu'u̱ bi mani dra ts'okajt'o̱t'amfeni nuni Michoacán, Xalisco, Culhuacan ne nuni neje Pánuco, ne nuni Oaxaca, Tehuantepec ne Guatemala, ne nuua ra r'ayo majyati, nub'u̱ bri t'o̱t'a ra mabaki pa dra uadi dra t'o̱t'a nu'a ra ts'okajt'o̱t'amfeni inda tjogihe se̱je̱.
nehege'a ra ngätsi. mi hä ya mpe̱fi dega mabagi,ya njom'a te ne ya fu̱nbo̱ja, inte ma mahuai mi hä ni ge'a ya bu'bai.	nehege'a ra ngätsi. mi hä ya mpe̱fi dega mabaki,ya njom'a te ne ya fu̱nbo̱kja, inte ma majuae mi hä ni ge'a ya bu'bai.
njabu̱ bi bo̱nga dega xui. mra ngo nub'u̱ ra Tecuílhuitl bi bo̱nga: nub'u̱ bi ja ya du ha ra r'ani ra dehe ya u̱erna.	njabu̱ bi bo̱nja dega xui. mra ngo nub'u̱ ra Tecuílhuitl bi bo̱nja: nub'u̱ bi ja ya du ja ra r'ani ra dehe ya u̱erna.
nub'u̱ bi thandi ra Tzihuacpopoca, bi t'ena:	nub'u̱ bi tjandi ra Tzihuacpopoca, bi t'ena:
nub'u̱ ya ñämfo̱ bi handi ge xa ñ'ehe nubu̱ da tsu̱di, ge mi tekuabi ra nest'ihi, m'estho bi munts'i bi mihi ya mahuai.	nub'u̱ ya ñämfo̱ bi jandi ge xa ñ'eje nubu̱ da tsu̱di, ge mi tekuabi ra nest'ihi, m'estjo bi munts'i bi miji ya majua.
nuna jä'i inbi tsa bi thädi majuäni nu'a ra nt'ani. ingra nge'a nuya pa bi hneki n'a ra hyoya jä'i ra macehual (hombre de pueblo),	nuna kjä'i inbi tsa bi tjädi majuäni nu'a ra nt'ani. ingra nge'a nuya pa bi hneki n'a ra hjoya kjä'i ra macehual (hombre de pueblo),
nuna nte̱nga b'ede ha bri hat'i ra Tzihuacpopocatzin, bi o̱t'e da thogi ge'a ra ts'e̱y'e̱hmu. inbi bo̱nga nuna nt'o̱t'e bi tsu̱dihu̱ ko ma r'a ya b'e̱hni. ma ra ya ñ'ete inbi hopi da ju̱ man'aki ra ñ'u nuya ts'okate. pe nuya inbi hoki ra b'ai.	nuna nte̱nga b'ede ja bri hat'i ra Tzihuacpopocatzin, bi o̱t'e da tjogi ge'a ra ts'e̱j'e̱hmu. inbi bo̱nga nuna nt'o̱t'e bi tsu̱diju̱ ko ma r'a ya b'e̱jni. ma ra ya ñ'ete inbi jokpi da kju̱ man'aki ra ñ'u nuya ts'okate. pe nuya inbi jokji ra b'ai.
nuua di udihe ra hñäpi bi nto̱t'e bi nja ra agosto ra je̱ya 1595, n'a ra jä'i mra thuhu ra miguel hernández, ra me Chiyauhtzinco,	nuua di udihe ra hñäpi bi nto̱t'e bi nja ra agosto ra je̱ya 1595, n'a ra kjä'i mra tjuhu ra miguel hernández, ra me Chiyauhtzinco,
nuya bo̱nahmu ya mem'onda ñätsi bi ñäui ra Cihuacóatl Tlacotzin m'estho bi thädi:	nuya bojnahmu ya mem'onda ñätsi bi ñäui ra Cihuacóatl Tlacotzin m'estho bi tjädi:
ra Tlacatécatl mra me Cuauhtitlan ne ra bktri ra mbot'a ngu bri japi ya tsat'yo bi zi.	ra Tlacatécatl mra me Cuauhtitlan ne ra bktji ra mbot'a ngu bri japi ya tsat'jo bi zi.
ra doy'e̱ pahni xki njom'i ko ya chalchihuite.	ra doj'e̱ pajni xki njom'i ko ya chalchihuite.
ra mu̱di ra Cuauhtémoc, ra hmu ra bondo, ra nyoho ra Tlacotzin, ra Cihuacóatl ra nhñu ra oquiztzin, ra bo̱nahmu ha ra nini ra Azcapotzalco Mexicapan, ra ngoho ra panitzin, ra bo̱nahmu nuni ra Ecatepec,	ra mu̱di ra Cuauhtémoc, ra jmu ra bondo, ra njojo ra Tlacotzin, ra Cihuacóatl ra nhñu ra oquiztzin, ra bo̱najmu ja ra nini ra Azcapotzalco Mexicapan, ra ngojo ra panitzin, ra bo̱najmu nuni ra Ecatepec,
ra mu̱di ra pa mi o̱t'e ra ngo ra mäkime ra u, ra thuhu ra Huixtocihuatl	ra mu̱di ra pa mi o̱t'e ra ngo ra mäkime ra ju, ra tjuhu ra Huixtocihuatl
ra nge'a bi mu̱ni ko ra mahuai ha ra xu̱tha nu'a to'o bi umbabi ra ji.	ra nje'a bi mu̱ni ko ra makjuai ja ra xu̱tha nu'a to'o bi umbabi ra ji.
ra nyoho, bi tho ra ndä ra Nauhtla, mra thuhu ra Cohualpopocatzin.	ra njojo, bi tjo ra ndä ra Nauhtla, mra tjuju ra Kojualpopocatzin.
unga ya ngue̱nda te ra ts'omu̱i mi bu̱'i ne mi japi da ntso̱m'i nuya macehualtin, njabu̱ mi thutuabi ya jä'i mi b'u̱i te ma za	unga ya ngue̱nda te ra ts'omu̱i mi bu̱'i ne mi japi da ntjo̱m'i nuya macehualtin, njabu̱ mi thutjabi ya kjä'i mi b'u̱i te ma za
xib'u̱ bri fádi ge nuya he mi ja nuni ra Cuauhchichilco, ha Xaltocan; ge mi pttsi ya ndá.	xib'u̱ bri fádi ge nuja je mi ja nuni ra Cuauhchichilco, ja Xaltocan; ge mi pttsi ya ndá.
xki mbo̱ni nubu̱ ra hyodi ra Cuehuecatitlan,	xki mbo̱ni nubu̱ ra jodi ra Cuehuecatitlan,
xki thete ra ixtlilxóchitl ne ra ku ra Cohuanacotzin ko ya he dega dänga ndä bi mu̱di da häni ra hoga ts'ofo ya evangelio,	xki thete ra ixtlilxóchitl ne ra ku ra Cohuanacotzin ko ya je dega dänga ndä bi mu̱di da häni ra hoga ts'ofo ja evangelio,
ya dänga ñu̱ni nsafi, ya nsafi, ya mahuai, hangu nu'u̱ gatho xki tagi mbo ha ra hñe.	ya dänga ñu̱ni njafi, ya njafi, ya majuae, jangu nu'u̱ gatjo xki tagi mbo ja ra hñe.
bi o̱tuabi nu'a ra makja xki nk'ohni mra thuhu ra alonso ruiz, ge mi y'o nuni huamuxtitan (Huamuxtitlan) nuni ra hyodi guerrero.	bi o̱tjuabi nu'a ra makja xki nk'ohni mra tjuhu ra alonso ruiz, ge mi y'o nuni huamuxtitan (Huamuxtitlan) nuni ra hjodi guerrero.
di pädi xahño nuna b'e̱fi nehe yoho to'o di pädi da mpe̱fi da y'este nuya hoga do mahye̱gi ya xito, mra thuhu ra ambetz'ihuay.	di pädi xajño nuna b'e̱fi neje yojo to'o di pädi da mpe̱fi da y'este nuja hoga do majye̱ki ya xito, mra tjuju ra ambetz'ijujay.
dra thoki ra nto̱de, ra ketzal dra b'e̱ nuni Coyohuacan.	dra tjoki ra nto̱de, ra ketzal dra b'e̱ nuni Coyohuacan.
e mi r'ani dega xui ra Cihuacóatl g'ea mi zoni ne mı mafi.	e mi r'ani dega xui ra Cihuacóatl g'ea mi zoni ne mı maji.
ebu̱ bi gäi habu̱ mi to̱ge ebu̱ bi yopa ma ha ra hnini ra Cuetaxtlan,	ebu̱ bi käi habu̱ mi to̱ke ebu̱ bi jopa ma ja ra jnini ra Cuetaxtlan,
ge'a ra mu̱di ra thuhu ra Hernando, ra nge'a njabu̱ mra thuhu ra takjä ra Cortés nehe njabu̱ mra thuhu ra ndä católico ne ra ku ra Cohuanacotzin bi thutuabi ra pedro po ra Pedro Alvarado ra nge'a ra takjä,	ge'a ra mu̱di ra tjuju ra Hernando, ra nge'a njabu̱ mra tjuju ra takjä ra Cortés neje njabu̱ mra tjuju ra ndä católico ne ra ku ra Cohuanacotzin bi tjutjuabi ra pedro po ra Pedro Alvarado ra nge'a ra takjä,
ma n'a mi b'ai nuni teotletso, habu̱ ra ñ'u̱ pa manjuäntho pa da zo̱ni nuni ra peñón (Tepetzinco).	ma n'a mi b'ai nuni teotletso, haju̱ ra ñ'u̱ pa manjuäntho pa da zo̱ni nuni ra peñón (Tepetzinco).
"mi tso̱ho̱ getbu̱ ra fu̱nga t'o̱ho̱, habu̱ mi thutuabi ""tajón ra nxu̱ni, njabu̱ bi hutuabi ya ndeznä ya b'e̱hnanoya bi pe̱hni ra ts'e̱y'e̱hmu, mi gu̱t'a ra ñ'u ra Tzihuacpopocatzin, bi bo̱nga ha ra ñ'u."	"mi tso̱jo̱ getbu̱ ra fu̱nga t'o̱jo̱, habu̱ mi tjutuakji ""tajón ra nxu̱ni, njabu̱ bi jutuakji ya ndeznä ya b'e̱jnanoya bi pe̱hni ra ts'e̱j'e̱hmu, mi gu̱t'a ra ñ'u ra Tzihuacpopocatzin, bi bo̱nja ja ra ñ'u."
mra ku ra Cacamatzin mra bo̱nahmu nuni Tetzcoco mri ñ'oui va jä'i mi y'o mpaha.	mra ku ra Cacamatzin mra bo̱najmu nuni Tetzcoco mri ñ'oui va kjä'i mi y'o mpaha.
n'a ra nto̱de dega chalchihuite, xi m'et'e dega ze̱ka do, nehe mi pe̱tsi n'a ra tsant'i de ga k'astaboja.	n'a ra nto̱de dega chalchihuite, xi m'et'e dega ze̱ka do, neje mi pe̱tji n'a ra tsant'i de ga k'astabokja.
ne ndunthi ya ambetz'ihuay ne mar'a hoga do mi pe̱tsi ra mu'ui:	je ndunthi ya ambetz'ijujay ne mar'a hoga do mi pe̱tsi ra mu'ui:
nehe n'a ya the̱sthi dega mboťahuaido.	neje n'a ya the̱stji dega mbotjauaido.
nuna bi o̱t'a ra ntso̱m'i ra nge'a nehe nuya ya b'e̱datsi bi tsini ko ra Cortés ne ra Cohuanacotzin ne ra ixtlilxóchitl xki nsofo pa ra ixtlilxóchitl da gu̱ka ya jä'i ge mi zu ya hyodi, njabu̱ mi pe̱hna ajuä da t'o̱t'e.	nuna bi o̱t'a ra ntso̱m'i ra nje'a neje nuya ya b'e̱jatsi bi tsini ko ra Cortés ne ra Cohuanacotzin ne ra ixtlilxóchitl xki njofu pa ra ixtlilxóchitl da gu̱ka ya kjä'i ge mi zu ja hyodi, njabu̱ mi pe̱jna akjuä da t'o̱t'e.
nuna nt'o̱t'e bi nthandi xa nts'ogi njabu̱ bri thutuabi, bi ena ge mra nzu̱te ko ma m'u̱hai ra nzu̱te ne mi thutsuabi ko ya mpe̱bi dega mabagì, habu̱ hmä ge n'a di ge'u̱ bi y'e̱nga n'a ra do, ko nge'a bi hyo, nu'u̱ mar'a ya b'e̱go ge mä ge nu'u̱ se̱he̱ ya ñämfo̱ bi hyo bi mu̱tu'a n'a ra mahuai ha ri ngati bi mu̱tuabi n'a ra nzu̱ni.	nuna nt'o̱t'e bi njandi xa nts'oji njabu̱ bri tjutuakji, bi ena ge mra nzu̱te ko ma m'u̱jai ra nzu̱te ne mi tjutsuakji ko ya mpe̱bi dega mabagì, habu̱ hmä ge n'a di ge'u̱ bi y'e̱nga n'a ra do, ko nge'a bi hyo, nu'u̱ mar'a ya b'e̱go ge mä ge nu'u̱ se̱he̱ ya ñämfo̱ bi hyo bi mu̱tu'a n'a ra mahuai ja ri ngaji bi mu̱tuakji n'a ra nzu̱ni.
ra Cuauhtémoc, Tlacotzin, ra Cihuacóatl, Oquiztzin, Panitzin, Motelhuihtzin; nuna bi sofo ra Cortés nuni Coyoacan, nu'u̱ to'o mi pädi yoho ya hñäki ngu'a ra jerónimo aguilar ra malintzin.	ra Cuauhtémoc, Tlacotzin, ra Cihuacóatl, Oquiztzin, Panitzin, Moteljuihtzin; nuna bi sofo ra Cortés nuni Coyoacan, nu'u̱ to'o mi pädi jojo ya hñäki ngu'a ra jerónimo aguilar ra malintzin.
t'ena ge ya macehual [ya jä'i b'u̱i ha ra hyoya]	t'ena ge ya macehual [ya kjä'i b'u̱i ja ra jyoja]
"xki thokuabi nuya hotho ts'ints'u̱ mra thuhu ra ""tlauhquecho"" ne “tzinitzcan zacuan"","	"xki tjokuabi nuya jotho ts'ints'u̱ mra tjuju ra ""tlauhquecho"" ne “tzinitzcan zakjuan"","
-¿te be'a gi mä nu'i Cihuacóatl?	-¿te be'a gi mä nu'i Kjiuacóatl?
bi k'ahni ko ya dänga ñuni nzafi ne bi thetse ko ya makahuai nuya otomi geb'u̱ bi japi bi b'e̱di, bi mä nuyu̱:	bi k'ahni ko ya dänga ñuni njafi ne bi thetse ko ya makajuai nuja otomi gekju̱ bi japi bi b'e̱di, bi mä nuju̱:
da thuts'i ya njot'ihñä ( )	da tjuts'i ya njot'ijñä ( )
da umbabihe te da zi, da japabihe ndunthi ma zu.	da umkjabije te da zi, da jakjabije nduntji ma zu.
ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra ts'e̱y'e̱hmu.	ebu̱ bi mä njuna b'e̱fi xa tjoki xajño bi kjoja ra ts'e̱y'e̱hmu.
"fernando alva ixtlilxóchitl, xiii njändahmä ""ra ñ'ehe ya ñämfo̱ ne ra mu̱di ra hoga ts'ofo ra evangelio."""	"fernando alva ixtlilxóchitl, xiii njändajmä ""ra ñ'eje ya ñämfo̱ ne ra mu̱di ra joga ts'ofo ra evangelio."""
ga juatihu̱ nu'a huts'i njani, ya ts'ojä'i, ra carranza, ge xa o̱t'a ya ts'okuate pa gekagihu̱; ga o̱t'e da nja ra ts'e̱di ma munts' ne njabu̱ ga tsu̱dihu̱ da nja nu'a ra hoga tsu̱tui, da nja ra hai, ra hñegi ne ra hoga ts'u̱tui;	ga kjuatiju̱ nu'a huts'i jnani, ya ts'ojä'i, ra karranza, ge xa o̱t'a ya ts'okjuate pa gekajiju̱; ga o̱t'e da nja ra ts'e̱di ma munts' ne njabu̱ ga tsu̱diju̱ da nja nu'a ra hoka tsu̱tui, da nja ra hai, ra hñegi ne ra hoka ts'u̱tui;
gatho ya hyoyajä'i mi b'u̱i ha ra hnini bi handi.	gatho ya hyoyakjä'i mi b'u̱i ja ra jnini bi jandi.
ha bi häni ra ñ'udi, ma jä'ihu̱ bi ent'i gatho mahye̱gi nuya nzu̱te	ja bi kjäni ra ñ'udi, ma kjä'iju̱ bi ent'i gatjo majye̱ki nuja nzu̱te
ha n'aa nza̱tho xudi ra pale berto, bi bo̱ni nda hyonga te nda nzimxidi ngetho nda zi ya hme hyaxtho mi u̱xa ya u, ua ngu mi nzäi mi nkahui yá hme nuya chuju̱ xa hogi ha nuya 'bomuha̱i nts'ät'i, nt'o̱kuä;	ja n'aa nza̱tjo xudi ra pale berto, bi bo̱ni nda hjonga te nda nzimxidi ngetjo nda zi ya hme hjaxtho mi u̱xa ya u, ua ngu mi nzäi mi nkajui yá hme nuja chujtjo xa jogi ja nuja 'bomuhäi nts'ät'i, nt'o̱kuä;
ha nubia di ndäki, di ndändiñähmu, di ma ga ts'u̱tsa'i ri y'e, ga ndäne'i ra nge'a nu'a'i ma makjahe, ra bartolomé lópez, nub'u̱ mi njuäni ma b'e̱hña inbi njuäni ha nubu̱ mi xaxi pa da o̱t'a ya tso̱mfen	ja nubia di ndäki, di ndändiñähmu, di ma ga ts'u̱tja'i ri y'e, ga ndäne'i ra nje'a nu'a'i ma makjahe, ra bartolomé lópez, nub'u̱ mi nkjuäni ma b'e̱jña inbi nkjuäni ja nubu̱ mi xaxi pa da o̱t'a ya tjo̱mfen
ha ya t'u̱ka ze̱ki thuts'i n'a tu̱kitho nuna thogi ge bi huxa ra fernando alva ixtlilxóchitl, nu'a b'e̱tsi ra xiiii njondahmä.	ja ya t'u̱ka ze̱ki tjuts'i n'a tu̱kitjo nuna tjogi ge bi kjuja ra fernando alva ixtlilxóchitl, nu'a b'e̱tsi ra xiiii njondahmä.
habu̱ ga ju̱he nuyu̱ (ya tenochcas) te gi honihu̱?	ja bu̱ ga ju̱je nuyu̱ (ya tenochcas) te gi joniju̱?
ham'u̱ gatho ya juän'ahmä ge nuua xa ze̱ti ri ñ'ehe dige'a ya noya ya mu̱dimehai ha ra hñä ya ndeznä, nuna thuhu ri uni inga se̱he̱ ra n'atsanoya pa da fädi ra hñämfo̱, ingi ri me̱udi dige'a ra hmä fu̱oti dige'a nuna ra hñäki ra netzahualcoyotl. ne ra cuauhtémoc.	jam'u̱ gatjo ya juän'ahmä ge nuua xa je̱ti ri ñ'eje dike'a ya noya ya mu̱dimehai ja ra hñä ya ndeznä, nuna tjuhu ri uni inga se̱je̱ ra n'atsanoya pa da fädi ra hñämfo̱, ingi ri me̱udi dike'a ra hmä fu̱oti dike'a nuna ra hñäki ra netzahualcoyotl. ne ra cuauhtémoc.
mi hneki ngu ma jä'ihu̱ ngabu̱ mri hneki.	mi hneki ngu ma kjä'iju̱ ngabu̱ mri hneki.
ndunthi bri johya, bri thuxpabi gatho nu'a mi o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ya t'ixu:	ndunthi bri kjojya, bri tjuxpabi gatho nu'a mi o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ja t'ixu:
ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha.	ngu mra me̱ti, nu'a r'a kjodi, habu mi y'o, n'a ngu n'a mi kjoja mi mfe̱m'a xinxi xi mi kjoja ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha.
njabu̱ ri ñ'ehe ya je̱ya inda m'e̱di, inda mpumfri, ga nzäi ga pe̱tsi nugagihu̱ ha ma mfenihu̱, ga pe̱tsi nugagihu̱, ra bätsi dige'u̱, ya b'e̱to, ya ntsaniku, ya mbänga b'e̱to ne to'o dra ñ'epu̱, to'o mahye̱gigihu̱, ma jihu̱, ya ku̱hu̱.	njabu̱ ri ñ'eje ya je̱ja inda m'e̱di, inda mpumfri, ga nzäi ga pe̱tsi nugajihu̱ ja ma mfeniju̱, ga pe̱tsi nugajihu̱, ra bätsi dike'u̱, ya b'e̱to, ya ntsaniku, ya mbänga b'e̱to ne to'o dra ñ'epu̱, to'o majje̱gigiju̱, ma jiju̱, ya ku̱ju̱.
nu xä oth'u̱, ma gä ñ'jähu̱	nu xä otj'u̱, ma kä ñ'kjahu̱
nuga̱ xi di ne'i, hindi pädi hanja...	nuga̱ xi di ne'i, jindi pädi hanja...
num'u̱ di johyahu̱, nkuehu̱, nts'o̱mihu̱, tsuhu ne pa da t'o̱xkähu̱ di hohñu̱ nu ya nt'u̱i xi di 'yoohu̱ (¡!). nuya da nt'ot'i ko ra dänt'ot'í	num'u̱ di kjojyaju̱, nkueju̱, nts'o̱miju̱, tsuju ne pa da t'o̱xkjaju̱ di jojñu̱ nu ya nt'u̱i xi di 'jooju̱ (¡!). nuja da nt'ot'i ko ra dänt'ot'í
nuna bi johya ha ra mabagi,	nuna bi kjohya ja ra mabaki,
nuya hñu o gohoya pa bi b'u̱i nubu̱ bi xitsuabi ra jäpadehe ndunthi ya jä'i, ngu xa t'ena.	nuya hñu o gohoja pa bi b'u̱i nubu̱ bi xitjoabi ra kjäpadeje ndunthi ya kjä'i, ngu xa t'ena.
nuya tsat'io mi b'et'o, mi gu̱t'a ra ñ'u, mi teni, ya xiñu mi ju̱ts'i pa mañä, xi mi pähä gatho mi handi mi nest'ihi: mi tu̱ta ya jihni	nuya tsat'io mi b'et'o, mi gu̱t'a ra ñ'u, mi teni, ya xiñu mi ju̱ts'i pa mañä, xi mi pähä gatjo mi jandi mi nest'ihi: mi tu̱ta ya kjihni
pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zugagihe, ¿hanja, nuua, ra hyo di ge'a, ga tsogi nubu̱ [nu'a ma b'e̱hña]?	pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zukagihe, ¿jakja, nuua, ra hyo di ge'a, ga tjogi nubu̱ [nu'a ma b'e̱jña]?
r'a ya jä'i mi b'u̱i ha ra ngumi ja nunu ha ra hnini ri manjuäntho pa da tsoni nubu̱ ra amáxac,	r'a ya kjä'i mi b'u̱i ja ra ngumi ja nunu ja ra jnini ri manjwäntho pa da tsoni nubu̱ ra amáxak,
ra nge'a di o̱t'a nuna noya ra ts'u̱tui ne gatho to'o da guat'a ha ma hyohe, nu'u̱ to'o da ne, da me̱tsi n'a ra hoga m'u̱i ne da m'u̱i manjuänthä. ha nubu̱ xa mabu̱ ma noya ge di pe̱tsi ra tsa, dega hoga jä'i ne dega hogat'o̱t'antuhni	ra nge'a di o̱t'a nuna noya ra ts'u̱tui ne gatjo to'o da guat'a ja ma hjoje, nu'u̱ to'o da ne, da me̱tsi n'a ra hoga m'u̱i ne da m'u̱i manjwänthä. ja nubu̱ xa mabu̱ ma noya ge di pe̱tsi ra tsa, dega hoga kjä'i ne dega hogat'o̱t'antuhni
ra ngehna nuna pa bi ma n'a ra ñ'u manjuäntho.	ra ngejna nuna pa bi ma n'a ra ñ'u manjwäntho.
ra nhñu ne ra ngästsi ra b'ist'ofo di huts'ihu̱ ha nuna ze̱ki b'ist'ofo, ri ñ'ehe ra vii njondahmä ra chimalpain,	ra ñhñu ne ra ngästsi ra b'ist'ofo di huts'iju̱ ja nuna ze̱ki b'ist'ofo, ri ñ'eje ra vii njondakmä ra chimalpain,
ra nthädi ra cuitlahuacatzin bi ena ge ina da o̱t'e nuya bi b'e̱pabi ya nso̱ho̱jä'i,	ra njädi ra cuitlahuacatzin bi ena ge ina da o̱t'e nuya bi b'e̱pabi ya njso̱jo̱kä'i,
ra nyoho nu'a mi zu ra tepoztlan; ra nhñu ra me tizatlan, ra njoho mi ñ'ehe nuni huehuetlan ne ra nku̱ta mra dänga mictlan.	ra njojo nu'a mi zu ra tepoztlan; ra nhñu ra me tizatlan, ra njojo mi ñ'eje nuni huehuetlan ne ra nku̱ta mra dänga mictlan.
ri ñ'udi xahño nubia hanja beni ya metlaxcala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.	ri ñ'udi xajño nubia hanja beni ya metlaxcala bi do̱m'i mpaha nuya nso̱jo̱ kjä'i.
t'ena ge inbi unga mfädi pa gatho ya jä'i mi ñ'oui, ge nuna ndada ra marqués da ñ'ehe dra hmu ha ma haihe, da ja me̱ti nu'a di pe̱tsihe nehe dra jakagihe ga mpe̱fihe ra hai ge bi umbabi o bi hänbabi ya hoga hai ya n'añ'o hnini.	t'ena ge inbi unga mfädi pa gatjo ya kjä'i mi ñ'oui, ge nuna ndada ra marqués da ñ'eje dra hmu ja ma jaihe, da ja me̱ti nu'a di pe̱tsihe neje dra jakagihe ga mpe̱fihe ra jai ge bi umbabi o bi kjänbabi ya hoga jai ya n'añ'o jnini.
xi mi taxki ra ñ'u, imbi tsa da r'anga n'a, ho̱nse̱he̱ mi taxka n'a ha ra bo̱hai. ya y'ofadi mi ju̱t'atho.	xi mi taxki ra ñ'u, imbi tsa da r'anja n'a, jo̱nse̱je̱ mi taxka n'a ja ra bo̱jai. ya y'ofadi mi ju̱t'atjo.
ya dänga mfu̱nga bo̱jä bi ntho, bi kot'i ko ya mahjuai, mi zu̱m'i nehe ko ya t'e̱nga ts'u̱t'abo̱ja.	ya dänga mfu̱nga bo̱kja bi ntho, bi kot'i ko ya majjuai, mi zu̱m'i neje ko ya t'e̱nga ts'u̱t'abokja.
ya r'atsanoya ra sahagún mi mä hanja mi yopa tsini. ya ndeznä bi nkohi inda ñ'udi. mi hatatho pa bi mu̱di ra ntuhni	ya r'atsanoya ra sahagún mi mä janja mi yopa tsini. ja ndeznä bi nkoji inda ñ'udi. mi jatatho pa bi mu̱di ra ntuhni
ya zi b'e̱hña mi ägi ha ya b'a ne ha ya ngo̱de, nuya ñ'o̱ho̱ mbo ha ya ne, ha ya njom'ahudi.	ya zi b'e̱jña mi ägi ja ya b'a ne ja ya ngo̱de, nuya ñ'o̱jo̱ mbo ja ya ne, ja ya njom'ahudi.
bi boxro xi 'be̱ts'ina, bido'u̱ ro 'yu̱ni 'na, xi bi bo̱x ro hjua 'na, bido'u̱ ro ts'ii 'na, xi bo̱xro ts'äre 'na. ge'bu̱ go min pu̱n doja 'na.	bi bokjro xi 'be̱ts'ina, bido'u̱ ro 'ju̱ni 'na, xi bi bo̱x ro kjua 'na, bido'u̱ ro ts'ii 'na, xi bo̱xro ts'äre 'na. ge'bu̱ go min pu̱n doja 'na.
bi ma manjuäntho habu̱ mi b'u̱i ra ts'e̱y'e̱hmu bi xipabi;	bi ma manjwäntho habu̱ mi b'u̱i ra ts'e̱j'e̱hmu bi kjipabi;
bri juahni po nuya dra hmu.	bri kjuajni po nuya dra jmu.
di to̱m'ihe ra ñ'ethi pa nugagihe, n'a ra pa ngu ma n'a ra pa thogi nekagihe di huadihe ra nge'a indi tse̱tihe nuna b'u̱i t'o̱t'e ko ngekagihe man'año ya ntho, t'e̱nts'igihe thi ma haihe ma me̱tihe, ju̱kagihe ga mpe̱fihe ndunthi, b'e̱kagihe ga jut'ihe xdunthi ya boja, n'a ngu n'a ra pa nuna njut'i di o̱t'ehe man'a te ma thaihe di tuhe.	di to̱m'ihe ra ñ'ethi pa nugajihe, n'a ra pa ngu ma n'a ra pa tjogi nekajihe di huajihe ra nge'a indi tse̱tjihe nuna b'u̱i t'o̱t'e ko ngekajihe man'año ya ntho, t'e̱nts'ijihe tji ma jaihe ma me̱tjihe, ju̱kajihe ga mpe̱fjihe ndunthi, b'e̱kajihe ga jut'ihe xdunthi ya bokja, n'a ngu n'a ra pa nuna njut'i di o̱t'eje man'a te ma tjaihe di tuhe.
gatho nuna hai ha nuna r'ayo ximhai njabu̱ bi thutuabi nuya nso̱ho̱jä'i inbi tsa bi thutuabi man'a ra thuhu.	gatho nuna hai ja nuna r'ayo ximjai njabu̱ bi tjutuabi nuya nso̱jo̱kä'i inbi tsa bi tjutuabi man'a ra tjuju.
ha mi tso nde, bi mu̱di bi nja n'a ra hneki ngu njagihu̱ dega jä'i, bi t'ot'e ra b'ai ngu dega jä'i,	ja mi tso nde, bi mu̱di bi nja n'a ra jneki ngu njajiju̱ dega kjä'i, bi t'ot'e ra b'ai ngu dega kjä'i,
ma bo̱nahmu'ihe: nuna b'e̱fi ga tsokagihe sta juatihe gatho: gi nuti nuua, xa hño bo̱nahmu.	ma bo̱najmu'ihe: nuna b'e̱fi ga tsokajihe sta kjuatihe gatjo: gi nuti nuua, xa hño bo̱najmu.
mi mä dega ts'e̱dira hñä tso̱pu da ts'o̱ho̱bu nuya nzo̱ho̱jä'i ga handihu̱ te ma ts'e̱di pe̱tsi, ra nge'a ma ajuä ra quetzalcohuatl b'u̱i nuua ko ngekagihu̱,	mi mä dega ts'e̱dira hñä tjo̱pu da ts'o̱jo̱bu nuya nzo̱jo̱kjä'i ga jandiju̱ te ma ts'e̱di pe̱tsi, ra nge'a ma akjuä ra quetzalcohuatl b'u̱i nuua ko ngekajiju̱,
ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu	ne ya nt'u̱i, hanja di tjuts'i ya nt'ofo, njap'u̱ neje mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu
